Class,Average_Brightness
battery,182.7215768494898
biological,141.9443634406888
brown-glass,185.53858338647962
cardboard,173.1696205357143
clothes,122.88844905931123
green-glass,169.65055165816327
metal,172.22868702168373
paper,156.57722735969386
plastic,164.52851243622453
shoes,150.57301658163263
trash,190.92271364795917
white-glass,171.9024689094388
